zipcode,availability
75449,Yes
75447,Yes
75989,No
75988,No
75987,No
75986,No
75985,No
75984,No
75983,No
75982,No
75981,No
75980,No
75979,No
75978,No
75977,No
75976,No
75975,No
75974,No
75973,No
75972,No
75971,No
75970,No
75969,No
75968,No
75967,No
75966,No
75965,No
75964,No
75963,No
75962,No
75961,No
75960,No
75959,No
75958,No
75957,No
75956,No
75955,No
75954,No
75953,No
75952,No
75951,No
75950,No
75949,No
75948,No
75947,No
75946,No
75945,No
75944,No
75943,No
75942,No
75941,No
75940,No
75939,No
75938,No
75937,No
75936,No
75935,No
75934,No
75933,No
75932,No
75931,No
75930,No
75929,No
75928,No
75927,No
75926,No
75925,No
75924,No
75923,No
75922,No
75921,No
75920,No
75919,No
75918,No
75917,No
75916,No
75915,No
75914,No
75913,No
75912,No
75911,No
75910,No
75909,No
75908,No
75907,No
75906,No
75905,No
75904,No
75903,No
75902,No
75901,No
75900,No
75899,No
75898,No
75897,No
75896,No
75895,No
75894,No
75893,No
75892,No
75891,No
75890,No
75889,No
75888,No
75887,No
75886,No
75885,No
75884,No
75883,No
75882,No
75881,No
75880,No
75879,No
75878,No
75877,No
75876,No
75875,No
75874,No
75873,No
75872,No
75871,No
75870,No
75869,No
75868,No
75867,No
75866,No
75865,No
75864,No
75863,No
75862,No
75861,No
75860,No
75859,No
75858,No
75857,No
75856,No
75855,No
75854,No
75853,No
75852,No
75851,No
75850,No
75849,No
75848,No
75847,No
75846,No
75845,No
75844,No
75843,No
75842,No
75841,No
75840,No
75839,No
75838,No
75837,No
75836,No
75835,No
75834,No
75833,No
75832,No
75831,No
75830,No
75829,No
75828,No
75827,No
75826,No
75825,No
75824,No
75823,No
75822,No
75821,No
75820,No
75819,No
75818,No
75817,No
75816,No
75815,No
75814,No
75813,No
75812,No
75811,No
75810,No
75809,No
75808,No
75807,No
75806,No
75805,No
75804,No
75803,No
75802,No
75801,No
75800,No
75799,No
75798,No
75797,No
75796,No
75795,No
75794,No
75793,No
75792,No
75791,No
75790,No
75789,No
75788,No
75787,No
75786,No
75785,No
75784,No
75783,No
75782,No
75781,No
75780,No
75779,No
75778,No
75777,No
75776,No
75775,No
75774,No
75773,No
75772,No
75771,No
75770,No
75769,No
75768,No
75767,No
75766,No
75765,No
75764,No
75763,No
75762,No
75761,No
75760,No
75759,No
75758,No
75757,No
75756,No
75755,No
75754,No
